STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED,LAT,LON,WEBSITE,ADDRESS
New Jersey,Vauxhall,Sheridan Brazilian Jiu Jitsu,sheridanbjj,,,,,,,https://www.sheridanbjj.com/
New Jersey,Kenilworth,Rolling Bear Brazilian Jiu-Jitsu,rollingbearbjj,,,,,,,https://rollingbearbjj.com/
New Jersey,Union,AllStar Martial Arts,allstar_martialarts,,,,,,,https://allstarbjj.com/
New Jersey,Berkeley Heights,Team Jucao,teamjucaobjj_official,,,,,,,https://www.teamjucaoacademy.com/
New Jersey,Elizabeth,Stiles Street MMA,stilesstreetmma,,,,,,,https://allamericansambo.com/clubs/streetmmaacademy/
New Jersey,East Brunswick,Revel Jiu Jitsu,reveljiujitsu,,,,,,,https://reveljiujitsu.com/
New Jersey,East Brunswick,Garry Tonon Jiu Jitsu,garrytononjiujitsu,,,,,,,https://www.garrytononjiujitsu.com/
New Jersey,Monroe,Monroe Jiu-Jitsu Academy / OMTC BJJ,monroe.jiujitsu,,,,,,,https://monroejj.com/
New Jersey,Fords / Woodbridge,Radji Barrett Jiu Jitsu Academy,radjibarrettjiujitsu,,,,,,,https://radjibarrettjiujitsu.com/
New Jersey,Green Brook,All In Jiu-Jitsu,allinjiujitsu,,,,,,,https://www.allinjiujitsu.com/
New Jersey,Montgomery Township,Montgomery Brazilian Jiu-Jitsu,montgomery_bjj,,,,,,,https://montgomerybjj.com/
New Jersey,Somerset / Franklin Township,New Journey MMA,newjourneymmasomersetnj,,,,,,,https://newjourneymma.com/
New Jersey,Hillsborough,Hillsborough Brazilian Jiu-Jitsu,hillsboroughbjj,,,,,,,https://www.hillsboroughbjj.com/
New Jersey,Princeton,Princeton Brazilian Jiu Jitsu,princetonbjj,,,,,,,https://www.princetonbjj.com/
New Jersey,Lawrenceville,Gracie Barra Princeton - Lawrenceville,graciebarraprinceton,,,,,,,https://gbprinceton.com/
New Jersey,North Princeton,Gracie Barra Princeton - North Princeton,gbnorthprinceton,,,,,,,https://gbprinceton.com/
New Jersey,Lawrence Township,Otherworld Jiu Jitsu,otherworld.jj,,,,,,,https://www.otherworldjj.com/
New Jersey,Ewing,Budo Martial Arts Studio,budomartialartsstudio,,,,,,,https://budomartialartsstudio.com/
New Jersey,Robbinsville,Ricardo Almeida BJJ / RABJJ Academy,rabjjacademy,,,,,,,https://ricardoalmeida.com/
New Jersey,Robbinsville,Upper Twelve Jiu Jitsu,uppertwelvejj,,,,,,,https://www.uppertwelvejj.com/
New Jersey,Red Bank / Middletown,Garden State Brazilian Jiu-Jitsu Academy,gardenstatebjj,,,,,,,https://gardenstatebjj.com/
